Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bacillus subtilis PY79 strain PK1_3 chromosome, complete genome",Bacillus subtilis PY79,902,902,100%,0.0,99.22,4145998,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP026038.1?report=genbank&log$=nucltop&blast_rank=180&RID=7ZWKD9BG015"",""CP026038.1"")"
"Bacillus subtilis strain AKPS2 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4572713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP172417.1?report=genbank&log$=nucltop&blast_rank=181&RID=7ZWKD9BG015"",""CP172417.1"")"
"Bacillus subtilis strain SRCM103629 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4129860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035413.1?report=genbank&log$=nucltop&blast_rank=182&RID=7ZWKD9BG015"",""CP035413.1"")"
"Bacillus subtilis strain SRCM103637 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4027238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035414.1?report=genbank&log$=nucltop&blast_rank=183&RID=7ZWKD9BG015"",""CP035414.1"")"
"Bacillus subtilis strain pb2441 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4288724,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP068982.1?report=genbank&log$=nucltop&blast_rank=184&RID=7ZWKD9BG015"",""CP068982.1"")"
"Bacillus subtilis subsp. subtilis strain SSJ-1 chromosome, complete genome",Bacillus subtilis subsp. subtilis,902,902,100%,0.0,99.22,4199434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032860.1?report=genbank&log$=nucltop&blast_rank=185&RID=7ZWKD9BG015"",""CP032860.1"")"
"Bacillus subtilis strain MB8_B10 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4225362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045824.1?report=genbank&log$=nucltop&blast_rank=186&RID=7ZWKD9BG015"",""CP045824.1"")"
"Bacillus subtilis strain DSM 5611 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4226994,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP120603.2?report=genbank&log$=nucltop&blast_rank=187&RID=7ZWKD9BG015"",""CP120603.2"")"
"Bacillus subtilis strain P5_B2 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4103324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045816.1?report=genbank&log$=nucltop&blast_rank=188&RID=7ZWKD9BG015"",""CP045816.1"")"
"Bacillus subtilis strain SRCM102749 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4192708,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP028213.1?report=genbank&log$=nucltop&blast_rank=189&RID=7ZWKD9BG015"",""CP028213.1"")"
"Bacillus subtilis isolate NRS6131 genome assembly, chromosome: NRS6131_1",Bacillus subtilis,902,952,100%,0.0,99.22,4249983,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419652.1?report=genbank&log$=nucltop&blast_rank=190&RID=7ZWKD9BG015"",""OX419652.1"")"
"Bacillus subtilis strain SRCM103581 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4126329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035403.1?report=genbank&log$=nucltop&blast_rank=191&RID=7ZWKD9BG015"",""CP035403.1"")"
"Bacillus subtilis strain PK1_2 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4145939,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP026039.1?report=genbank&log$=nucltop&blast_rank=192&RID=7ZWKD9BG015"",""CP026039.1"")"
"Bacillus subtilis strain PK5_68 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4151624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP026035.1?report=genbank&log$=nucltop&blast_rank=193&RID=7ZWKD9BG015"",""CP026035.1"")"
"Bacillus subtilis strain PK3_9 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4083407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP026030.1?report=genbank&log$=nucltop&blast_rank=194&RID=7ZWKD9BG015"",""CP026030.1"")"
"Bacillus subtilis strain ATC-3 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4094338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP093067.1?report=genbank&log$=nucltop&blast_rank=195&RID=7ZWKD9BG015"",""CP093067.1"")"
"Bacillus subtilis strain R5 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4089051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP194175.1?report=genbank&log$=nucltop&blast_rank=196&RID=7ZWKD9BG015"",""CP194175.1"")"
"Bacillus subtilis strain H17-16 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4211317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP139188.1?report=genbank&log$=nucltop&blast_rank=197&RID=7ZWKD9BG015"",""CP139188.1"")"
"Bacillus subtilis strain MB9_B6 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4087720,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045818.1?report=genbank&log$=nucltop&blast_rank=198&RID=7ZWKD9BG015"",""CP045818.1"")"
"Bacillus subtilis isolate NRS6187 genome assembly, chromosome: NRS6187_1",Bacillus subtilis,902,902,100%,0.0,99.22,4096109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419550.1?report=genbank&log$=nucltop&blast_rank=199&RID=7ZWKD9BG015"",""OX419550.1"")"
"Bacillus subtilis isolate NRS6103 genome assembly, chromosome: NRS6103_1",Bacillus subtilis,902,950,100%,0.0,99.22,4264553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419579.1?report=genbank&log$=nucltop&blast_rank=200&RID=7ZWKD9BG015"",""OX419579.1"")"
"Bacillus subtilis isolate NRS6132 genome assembly, chromosome: NRS6132_1",Bacillus subtilis,902,902,100%,0.0,99.22,4097627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419560.1?report=genbank&log$=nucltop&blast_rank=201&RID=7ZWKD9BG015"",""OX419560.1"")"
"Bacillus subtilis strain FUA2233 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4475226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP154923.1?report=genbank&log$=nucltop&blast_rank=202&RID=7ZWKD9BG015"",""CP154923.1"")"
"Bacillus subtilis strain 73 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4166516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045826.1?report=genbank&log$=nucltop&blast_rank=203&RID=7ZWKD9BG015"",""CP045826.1"")"
"Bacillus subtilis strain BsBfN1 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4108214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP192440.1?report=genbank&log$=nucltop&blast_rank=204&RID=7ZWKD9BG015"",""CP192440.1"")"
Bacillus subtilis strain BsBcN2 chromosome,Bacillus subtilis,902,902,100%,0.0,99.22,4067681,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP194791.1?report=genbank&log$=nucltop&blast_rank=205&RID=7ZWKD9BG015"",""CP194791.1"")"
"Bacillus subtilis isolate NRS6127 genome assembly, chromosome: NRS6127_1",Bacillus subtilis,902,950,100%,0.0,99.22,4226657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419564.1?report=genbank&log$=nucltop&blast_rank=206&RID=7ZWKD9BG015"",""OX419564.1"")"
"Bacillus subtilis strain MB9_B4 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4105407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045819.1?report=genbank&log$=nucltop&blast_rank=207&RID=7ZWKD9BG015"",""CP045819.1"")"
"Bacillus subtilis subsp. subtilis strain SRCM100757, complete genome",Bacillus subtilis subsp. subtilis,902,902,100%,0.0,99.22,3988649,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021499.1?report=genbank&log$=nucltop&blast_rank=208&RID=7ZWKD9BG015"",""CP021499.1"")"
Bacillus subtilis strain PMB102 chromosome,Bacillus subtilis,902,952,100%,0.0,99.22,4103088,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP047645.1?report=genbank&log$=nucltop&blast_rank=209&RID=7ZWKD9BG015"",""CP047645.1"")"
"Bacillus subtilis strain SRCM103641 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4110403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035390.1?report=genbank&log$=nucltop&blast_rank=210&RID=7ZWKD9BG015"",""CP035390.1"")"
"Bacillus subtilis subsp. subtilis str. OH 131.1, complete genome",Bacillus subtilis subsp. subtilis str. OH 131.1,902,950,100%,0.0,99.22,4039155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP007409.1?report=genbank&log$=nucltop&blast_rank=211&RID=7ZWKD9BG015"",""CP007409.1"")"
"Bacillus subtilis strain SEM-9 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4121982,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021123.1?report=genbank&log$=nucltop&blast_rank=212&RID=7ZWKD9BG015"",""CP021123.1"")"
"Bacillus subtilis strain SRCM103517 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4192706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035226.1?report=genbank&log$=nucltop&blast_rank=213&RID=7ZWKD9BG015"",""CP035226.1"")"
"Bacillus subtilis strain MB9_B1 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4263919,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045820.1?report=genbank&log$=nucltop&blast_rank=214&RID=7ZWKD9BG015"",""CP045820.1"")"
"Bacillus subtilis strain AMFE023/7 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4125200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP188116.1?report=genbank&log$=nucltop&blast_rank=215&RID=7ZWKD9BG015"",""CP188116.1"")"
"Bacillus subtilis strain SRCM126725 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4103568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP129338.1?report=genbank&log$=nucltop&blast_rank=216&RID=7ZWKD9BG015"",""CP129338.1"")"
"Bacillus subtilis subsp. subtilis strain SRCM100761, complete genome",Bacillus subtilis subsp. subtilis,902,902,100%,0.0,99.22,3988630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021889.1?report=genbank&log$=nucltop&blast_rank=217&RID=7ZWKD9BG015"",""CP021889.1"")"
"Bacillus subtilis strain DSM 13019 chromosome, complete genome",Bacillus subtilis,902,947,100%,0.0,99.22,4044360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP120621.2?report=genbank&log$=nucltop&blast_rank=218&RID=7ZWKD9BG015"",""CP120621.2"")"
"Bacillus subtilis strain HY2-62 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4100917,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP110365.1?report=genbank&log$=nucltop&blast_rank=219&RID=7ZWKD9BG015"",""CP110365.1"")"
"Bacillus subtilis strain CV16 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4200880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP062497.1?report=genbank&log$=nucltop&blast_rank=220&RID=7ZWKD9BG015"",""CP062497.1"")"
"Bacillus subtilis strain FW2 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4147702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP139103.1?report=genbank&log$=nucltop&blast_rank=221&RID=7ZWKD9BG015"",""CP139103.1"")"
"Bacillus subtilis strain 1 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4214774,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP114899.1?report=genbank&log$=nucltop&blast_rank=222&RID=7ZWKD9BG015"",""CP114899.1"")"
"Bacillus subtilis subsp. subtilis strain SRCM101444, complete genome",Bacillus subtilis subsp. subtilis,902,902,100%,0.0,99.22,3988602,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021498.1?report=genbank&log$=nucltop&blast_rank=223&RID=7ZWKD9BG015"",""CP021498.1"")"
"Bacillus subtilis strain S1 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4083451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP092824.1?report=genbank&log$=nucltop&blast_rank=224&RID=7ZWKD9BG015"",""CP092824.1"")"
"Bacillus subtilis isolate NRS6099 genome assembly, chromosome: NRS6099_1",Bacillus subtilis,902,902,100%,0.0,99.22,4096107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419559.1?report=genbank&log$=nucltop&blast_rank=225&RID=7ZWKD9BG015"",""OX419559.1"")"
"Bacillus subtilis strain SRCM104005 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4136114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035164.1?report=genbank&log$=nucltop&blast_rank=226&RID=7ZWKD9BG015"",""CP035164.1"")"
"Bacillus subtilis strain FUA2231 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4475230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP154918.1?report=genbank&log$=nucltop&blast_rank=227&RID=7ZWKD9BG015"",""CP154918.1"")"
"Bacillus subtilis strain PK5_17 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4086149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP026037.1?report=genbank&log$=nucltop&blast_rank=228&RID=7ZWKD9BG015"",""CP026037.1"")"
"Bacillus subtilis strain HJ0-6 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4235115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP016894.1?report=genbank&log$=nucltop&blast_rank=229&RID=7ZWKD9BG015"",""CP016894.1"")"
"Bacillus subtilis strain FUA2232 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4475228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP154920.1?report=genbank&log$=nucltop&blast_rank=230&RID=7ZWKD9BG015"",""CP154920.1"")"
"Bacillus subtilis strain KF24 chromosome, complete genome",Bacillus subtilis,902,902,100%,0.0,99.22,4237328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126097.1?report=genbank&log$=nucltop&blast_rank=231&RID=7ZWKD9BG015"",""CP126097.1"")"
"Bacillus subtilis strain ms-2 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4126713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP044498.1?report=genbank&log$=nucltop&blast_rank=232&RID=7ZWKD9BG015"",""CP044498.1"")"
"Bacillus subtilis isolate NRS6183 genome assembly, chromosome: NRS6183_1",Bacillus subtilis,902,950,100%,0.0,99.22,4256610,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419553.1?report=genbank&log$=nucltop&blast_rank=233&RID=7ZWKD9BG015"",""OX419553.1"")"
"Bacillus subtilis strain MB8_B1 chromosome, complete genome",Bacillus subtilis,902,950,100%,0.0,99.22,4221278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045823.1?report=genbank&log$=nucltop&blast_rank=234&RID=7ZWKD9BG015"",""CP045823.1"")"
"Bacillus subtilis strain TE3T-UV25 chromosome, complete genome",Bacillus subtilis,898,898,100%,0.0,99.02,4180244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166831.1?report=genbank&log$=nucltop&blast_rank=235&RID=7ZWKD9BG015"",""CP166831.1"")"
Bacillus subtilis strain MSP5 chromosome,Bacillus subtilis,898,898,100%,0.0,99.02,4049479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP046047.1?report=genbank&log$=nucltop&blast_rank=236&RID=7ZWKD9BG015"",""CP046047.1"")"
"Bacillus subtilis strain PRO55 chromosome, complete genome",Bacillus subtilis,898,898,100%,0.0,99.02,4085283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP121735.2?report=genbank&log$=nucltop&blast_rank=237&RID=7ZWKD9BG015"",""CP121735.2"")"
"Bacillus subtilis strain CFB-09 chromosome, complete genome",Bacillus subtilis,898,898,100%,0.0,99.02,4091928,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP180592.1?report=genbank&log$=nucltop&blast_rank=238&RID=7ZWKD9BG015"",""CP180592.1"")"
"Bacillus subtilis strain K3C chromosome, complete genome",Bacillus subtilis,898,898,100%,0.0,99.02,4120051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP180575.1?report=genbank&log$=nucltop&blast_rank=239&RID=7ZWKD9BG015"",""CP180575.1"")"
Bacillus subtilis strain MSP1 chromosome,Bacillus subtilis,898,898,100%,0.0,99.02,4049437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045006.1?report=genbank&log$=nucltop&blast_rank=240&RID=7ZWKD9BG015"",""CP045006.1"")"
"Bacillus subtilis strain PK5_16 chromosome, complete genome",Bacillus subtilis,898,898,100%,0.0,99.02,4040032,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP026036.1?report=genbank&log$=nucltop&blast_rank=241&RID=7ZWKD9BG015"",""CP026036.1"")"
"Bacillus subtilis strain PRO53 chromosome, complete genome",Bacillus subtilis,898,898,100%,0.0,99.02,4113712,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP120577.2?report=genbank&log$=nucltop&blast_rank=242&RID=7ZWKD9BG015"",""CP120577.2"")"
"Bacillus subtilis strain HMNig-2 chromosome, complete genome",Bacillus subtilis,898,898,100%,0.0,99.02,4178124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP031784.1?report=genbank&log$=nucltop&blast_rank=243&RID=7ZWKD9BG015"",""CP031784.1"")"
"Bacillus subtilis strain Bs96 chromosome, complete genome",Bacillus subtilis,898,898,100%,0.0,99.02,4050098,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP090125.1?report=genbank&log$=nucltop&blast_rank=244&RID=7ZWKD9BG015"",""CP090125.1"")"
"Bacillus subtilis strain PRO112 chromosome, complete genome",Bacillus subtilis,898,898,100%,0.0,99.02,4278364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP120600.2?report=genbank&log$=nucltop&blast_rank=245&RID=7ZWKD9BG015"",""CP120600.2"")"
"Bacillus subtilis strain PK5_52 chromosome, complete genome",Bacillus subtilis,894,894,100%,0.0,99.02,4088626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP026034.1?report=genbank&log$=nucltop&blast_rank=246&RID=7ZWKD9BG015"",""CP026034.1"")"
Bacillus subtilis strain 1999_21 chromosome,Bacillus subtilis,894,894,100%,0.0,99.02,4088757,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP184275.1?report=genbank&log$=nucltop&blast_rank=247&RID=7ZWKD9BG015"",""CP184275.1"")"
"Bacillus subtilis strain MT74 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4143087,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP194217.1?report=genbank&log$=nucltop&blast_rank=248&RID=7ZWKD9BG015"",""CP194217.1"")"
"Bacillus subtilis strain SRCM103923 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4113808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035163.1?report=genbank&log$=nucltop&blast_rank=249&RID=7ZWKD9BG015"",""CP035163.1"")"
"Bacillus subtilis strain MZK05 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4145727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032315.1?report=genbank&log$=nucltop&blast_rank=250&RID=7ZWKD9BG015"",""CP032315.1"")"
"Bacillus subtilis strain GL-4 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4271214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP104097.1?report=genbank&log$=nucltop&blast_rank=251&RID=7ZWKD9BG015"",""CP104097.1"")"
"Bacillus subtilis strain ge28, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4065429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021903.1?report=genbank&log$=nucltop&blast_rank=252&RID=7ZWKD9BG015"",""CP021903.1"")"
"Bacillus subtilis strain RLI2019 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4195306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP123621.1?report=genbank&log$=nucltop&blast_rank=253&RID=7ZWKD9BG015"",""CP123621.1"")"
"Bacillus subtilis strain SRCM104011 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4058524,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035191.1?report=genbank&log$=nucltop&blast_rank=254&RID=7ZWKD9BG015"",""CP035191.1"")"
"Bacillus subtilis strain DMB14 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4135213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144137.1?report=genbank&log$=nucltop&blast_rank=255&RID=7ZWKD9BG015"",""CP144137.1"")"
Bacillus subtilis strain PBs 12 chromosome,Bacillus subtilis,893,893,100%,0.0,98.82,4020447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP110213.1?report=genbank&log$=nucltop&blast_rank=256&RID=7ZWKD9BG015"",""CP110213.1"")"
"Bacillus subtilis strain K35-1 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4063425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP186004.1?report=genbank&log$=nucltop&blast_rank=257&RID=7ZWKD9BG015"",""CP186004.1"")"
"Bacillus subtilis strain SRCM103881 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4147136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035165.1?report=genbank&log$=nucltop&blast_rank=258&RID=7ZWKD9BG015"",""CP035165.1"")"
"Bacillus subtilis strain SRCM116268 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4092641,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP106673.1?report=genbank&log$=nucltop&blast_rank=259&RID=7ZWKD9BG015"",""CP106673.1"")"
"Bacillus subtilis strain SRCM117108 chromosome, complete genome",Bacillus subtilis,893,941,100%,0.0,98.82,4243381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP103350.1?report=genbank&log$=nucltop&blast_rank=260&RID=7ZWKD9BG015"",""CP103350.1"")"
"Bacillus subtilis strain ZW chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4264477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP092369.1?report=genbank&log$=nucltop&blast_rank=261&RID=7ZWKD9BG015"",""CP092369.1"")"
"Bacillus subtilis strain S16 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4058498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP097130.1?report=genbank&log$=nucltop&blast_rank=262&RID=7ZWKD9BG015"",""CP097130.1"")"
Bacillus subtilis strain MBB3B9_DBT-NECAB chromosome,Bacillus subtilis,893,893,100%,0.0,98.82,4149783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP089269.1?report=genbank&log$=nucltop&blast_rank=263&RID=7ZWKD9BG015"",""CP089269.1"")"
"Bacillus subtilis strain QXKL-3 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4113166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178617.1?report=genbank&log$=nucltop&blast_rank=264&RID=7ZWKD9BG015"",""CP178617.1"")"
"Bacillus subtilis strain SRCM116301 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4092643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP106671.1?report=genbank&log$=nucltop&blast_rank=265&RID=7ZWKD9BG015"",""CP106671.1"")"
"Bacillus subtilis strain C1_9 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4090469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126083.1?report=genbank&log$=nucltop&blast_rank=266&RID=7ZWKD9BG015"",""CP126083.1"")"
"Bacillus subtilis strain C1_13 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4090469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126082.1?report=genbank&log$=nucltop&blast_rank=267&RID=7ZWKD9BG015"",""CP126082.1"")"
"Bacillus subtilis strain MT48 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4143098,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP194218.1?report=genbank&log$=nucltop&blast_rank=268&RID=7ZWKD9BG015"",""CP194218.1"")"
"Bacillus subtilis strain 11060 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4071539,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107039.1?report=genbank&log$=nucltop&blast_rank=269&RID=7ZWKD9BG015"",""CP107039.1"")"
Bacillus subtilis strain J1 chromosome,Bacillus subtilis,893,893,100%,0.0,98.82,4168801,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126973.1?report=genbank&log$=nucltop&blast_rank=270&RID=7ZWKD9BG015"",""CP126973.1"")"
"Bacillus subtilis strain G2S2 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4085814,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126094.1?report=genbank&log$=nucltop&blast_rank=271&RID=7ZWKD9BG015"",""CP126094.1"")"
"Bacillus subtilis strain YB-04 chromosome, complete genome",Bacillus subtilis,893,893,100%,0.0,98.82,4156177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP072525.1?report=genbank&log$=nucltop&blast_rank=272&RID=7ZWKD9BG015"",""CP072525.1"")"
